MainShapes,ArrayStart,MainShapesStart,,
MainShapesStart,ArrayEnd,MainShapesEnd,,
MainShapesStart,StructStart,MainShapesElementStart,,
MainShapesElementStart,AttributPosition,MainShapesElementPosition,,
MainShapesElementPosition,AttributRotation,MainShapesElementRotation,MainShapesElementPositionDefault,
MainShapesElementPosition,StructStart,MainShapesElementPositionStart,,
MainShapesElementPositionStart,AttributX,MainShapesElementPositionX,,
MainShapesElementPositionX,AttributY,MainShapesElementPositionY,MainShapesElementPositionXDefault,
MainShapesElementPositionX,PrimitiveValue,MainShapesElementPositionXEnd,ParseMainShapesElementPositionX,
MainShapesElementPositionXEnd,AttributY,MainShapesElementPositionY,,
MainShapesElementPositionY,StructEnd,MainShapesElementPositionEnd,MainShapesElementPositionYDefault,
MainShapesElementPositionY,PrimitiveValue,MainShapesElementPositionYEnd,ParseMainShapesElementPositionY,
MainShapesElementPositionYEnd,StructEnd,MainShapesElementPositionEnd,,
MainShapesElementPositionEnd,AttributRotation,MainShapesElementRotation,,
MainShapesElementRotation,AttributWidth,MainShapesPolygonWidth,MainShapesElementRotationDefault,
MainShapesElementRotation,AttributShapes,MainShapesGroupShapes,MainShapesElementRotationDefault,
MainShapesElementRotation,PrimitiveValue,MainShapesElementRotationEnd,ParseMainShapesElementRotation,
MainShapesElementRotationEnd,AttributWidth,MainShapesPolygonWidth,,
MainShapesElementRotationEnd,AttributShapes,MainShapesGroupShapes,,
MainShapesPolygonWidth,AttributBorderColor,MainShapesPolygonBorderColor,MainShapesPolygonWidthDefault,
MainShapesPolygonWidth,PrimitiveValue,MainShapesPolygonWidthEnd,ParseMainShapesPolygonWidth,
MainShapesPolygonWidthEnd,AttributBorderColor,MainShapesPolygonBorderColor,,
MainShapesPolygonBorderColor,AttributFillColor,MainShapesPolygonFillColor,MainShapesPolygonBorderColorDefault,
MainShapesPolygonBorderColor,StructStart,MainShapesPolygonBorderColorStart,,
MainShapesPolygonBorderColorStart,AttributRed,MainShapesPolygonBorderColorRed,,
MainShapesPolygonBorderColorRed,AttributGreen,MainShapesPolygonBorderColorGreen,MainShapesPolygonBorderColorRedDefault,
MainShapesPolygonBorderColorRed,PrimitiveValue,MainShapesPolygonBorderColorRedEnd,ParseMainShapesPolygonBorderColorRed,
MainShapesPolygonBorderColorRedEnd,AttributGreen,MainShapesPolygonBorderColorGreen,,
MainShapesPolygonBorderColorGreen,AttributBlue,MainShapesPolygonBorderColorBlue,MainShapesPolygonBorderColorGreenDefault,
MainShapesPolygonBorderColorGreen,PrimitiveValue,MainShapesPolygonBorderColorGreenEnd,ParseMainShapesPolygonBorderColorGreen,
MainShapesPolygonBorderColorGreenEnd,AttributBlue,MainShapesPolygonBorderColorBlue,,
MainShapesPolygonBorderColorBlue,StructEnd,MainShapesPolygonBorderColorEnd,MainShapesPolygonBorderColorBlueDefault,
MainShapesPolygonBorderColorBlue,PrimitiveValue,MainShapesPolygonBorderColorBlueEnd,ParseMainShapesPolygonBorderColorBlue,
MainShapesPolygonBorderColorBlueEnd,StructEnd,MainShapesPolygonBorderColorEnd,,
MainShapesPolygonBorderColorEnd,AttributFillColor,MainShapesPolygonFillColor,,
MainShapesPolygonFillColor,AttributVertices,MainShapesPolygonVertices,MainShapesPolygonFillColorDefault,
MainShapesPolygonFillColor,StructStart,MainShapesPolygonFillColorStart,,
MainShapesPolygonFillColorStart,AttributRed,MainShapesPolygonFillColorRed,,
MainShapesPolygonFillColorRed,AttributGreen,MainShapesPolygonFillColorGreen,MainShapesPolygonFillColorRedDefault,
MainShapesPolygonFillColorRed,PrimitiveValue,MainShapesPolygonFillColorRedEnd,ParseMainShapesPolygonFillColorRed,
MainShapesPolygonFillColorRedEnd,AttributGreen,MainShapesPolygonFillColorGreen,,
MainShapesPolygonFillColorGreen,AttributBlue,MainShapesPolygonFillColorBlue,MainShapesPolygonFillColorGreenDefault,
MainShapesPolygonFillColorGreen,PrimitiveValue,MainShapesPolygonFillColorGreenEnd,ParseMainShapesPolygonFillColorGreen,
MainShapesPolygonFillColorGreenEnd,AttributBlue,MainShapesPolygonFillColorBlue,,
MainShapesPolygonFillColorBlue,StructEnd,MainShapesPolygonFillColorEnd,MainShapesPolygonFillColorBlueDefault,
MainShapesPolygonFillColorBlue,PrimitiveValue,MainShapesPolygonFillColorBlueEnd,ParseMainShapesPolygonFillColorBlue,
MainShapesPolygonFillColorBlueEnd,StructEnd,MainShapesPolygonFillColorEnd,,
MainShapesPolygonFillColorEnd,AttributVertices,MainShapesPolygonVertices,,
MainShapesPolygonVertices,StructEnd,MainShapesStart,MainShapesPolygonVerticesDefault,
MainShapesPolygonVertices,ArrayStart,MainShapesPolygonVerticesStart,,
MainShapesPolygonVerticesStart,ArrayEnd,MainShapesPolygonVerticesEnd,,
MainShapesPolygonVerticesStart,StructStart,MainShapesPolygonVerticesVertexStart,,
MainShapesPolygonVerticesVertexStart,AttributX,MainShapesPolygonVerticesVertexX,,
MainShapesPolygonVerticesVertexX,AttributY,MainShapesPolygonVerticesVertexY,MainShapesPolygonVerticesVertexXDefault,
MainShapesPolygonVerticesVertexX,PrimitiveValue,MainShapesPolygonVerticesVertexXEnd,ParseMainShapesPolygonVerticesVertexX,
MainShapesPolygonVerticesVertexXEnd,AttributY,MainShapesPolygonVerticesVertexY,,
MainShapesPolygonVerticesVertexY,StructEnd,MainShapesPolygonVerticesStart,MainShapesPolygonVerticesVertexYDefault,
MainShapesPolygonVerticesVertexY,PrimitiveValue,MainShapesPolygonVerticesVertexYEnd,ParseMainShapesPolygonVerticesVertexY,
MainShapesPolygonVerticesVertexYEnd,StructEnd,MainShapesPolygonVerticesStart,,
MainShapesPolygonVerticesEnd,StructEnd,MainShapesStart,,
MainShapesGroupShapes,StructEnd,MainShapesStart,MainShapesGroupShapesDefault,
MainShapesGroupShapes,ArrayStart,MainShapesGroupShapesStart,,
MainShapesGroupShapesStart,ArrayEnd,MainShapesGroupShapesEnd,,
MainShapesGroupShapesStart,StructStart,MainShapesGroupShapesPolygonStart,,
MainShapesGroupShapesPolygonStart,AttributPosition,MainShapesGroupShapesPolygonPosition,,
MainShapesGroupShapesPolygonPosition,AttributRotation,MainShapesGroupShapesPolygonRotation,MainShapesGroupShapesPolygonPositionDefault,
MainShapesGroupShapesPolygonPosition,StructStart,MainShapesGroupShapesPolygonPositionStart,,
MainShapesGroupShapesPolygonPositionStart,AttributX,MainShapesGroupShapesPolygonPositionX,,
MainShapesGroupShapesPolygonPositionX,AttributY,MainShapesGroupShapesPolygonPositionY,MainShapesGroupShapesPolygonPositionXDefault,
MainShapesGroupShapesPolygonPositionX,PrimitiveValue,MainShapesGroupShapesPolygonPositionXEnd,ParseMainShapesGroupShapesPolygonPositionX,
MainShapesGroupShapesPolygonPositionXEnd,AttributY,MainShapesGroupShapesPolygonPositionY,,
MainShapesGroupShapesPolygonPositionY,StructEnd,MainShapesGroupShapesPolygonPositionEnd,MainShapesGroupShapesPolygonPositionYDefault,
MainShapesGroupShapesPolygonPositionY,PrimitiveValue,MainShapesGroupShapesPolygonPositionYEnd,ParseMainShapesGroupShapesPolygonPositionY,
MainShapesGroupShapesPolygonPositionYEnd,StructEnd,MainShapesGroupShapesPolygonPositionEnd,,
MainShapesGroupShapesPolygonPositionEnd,AttributRotation,MainShapesGroupShapesPolygonRotation,,
MainShapesGroupShapesPolygonRotation,AttributWidth,MainShapesGroupShapesPolygonWidth,MainShapesGroupShapesPolygonRotationDefault,//,
MainShapesGroupShapesPolygonRotation,PrimitiveValue,MainShapesGroupShapesPolygonRotationEnd,ParseMainShapesGroupShapesPolygonRotation,
MainShapesGroupShapesPolygonRotationEnd,AttributWidth,MainShapesGroupShapesPolygonWidth,,
MainShapesGroupShapesPolygonWidth,AttributBorderColor,MainShapesGroupShapesPolygonBorderColor,MainShapesGroupShapesPolygonWidthDefault,
MainShapesGroupShapesPolygonWidth,PrimitiveValue,MainShapesGroupShapesPolygonWidthEnd,ParseMainShapesGroupShapesPolygonWidth,
MainShapesGroupShapesPolygonWidthEnd,AttributBorderColor,MainShapesGroupShapesPolygonBorderColor,,
MainShapesGroupShapesPolygonBorderColor,AttributFillColor,MainShapesGroupShapesPolygonFillColor,MainShapesGroupShapesPolygonBorderColorDefault,
MainShapesGroupShapesPolygonBorderColor,StructStart,MainShapesGroupShapesPolygonBorderColorStart,,
MainShapesGroupShapesPolygonBorderColorStart,AttributRed,MainShapesGroupShapesPolygonBorderColorRed,,
MainShapesGroupShapesPolygonBorderColorRed,AttributGreen,MainShapesGroupShapesPolygonBorderColorGreen,MainShapesGroupShapesPolygonBorderColorRedDefault,
MainShapesGroupShapesPolygonBorderColorRed,PrimitiveValue,MainShapesGroupShapesPolygonBorderColorRedEnd,ParseMainShapesGroupShapesPolygonBorderColorRed,
MainShapesGroupShapesPolygonBorderColorRedEnd,AttributGreen,MainShapesGroupShapesPolygonBorderColorGreen,,
MainShapesGroupShapesPolygonBorderColorGreen,AttributBlue,MainShapesGroupShapesPolygonBorderColorBlue,MainShapesGroupShapesPolygonBorderColorGreenDefault,
MainShapesGroupShapesPolygonBorderColorGreen,PrimitiveValue,MainShapesGroupShapesPolygonBorderColorGreenEnd,ParseMainShapesGroupShapesPolygonBorderColorGreen,
MainShapesGroupShapesPolygonBorderColorGreenEnd,AttributBlue,MainShapesGroupShapesPolygonBorderColorBlue,,
MainShapesGroupShapesPolygonBorderColorBlue,StructEnd,MainShapesGroupShapesPolygonBorderColorEnd,MainShapesGroupShapesPolygonBorderColorBlueDefault,
MainShapesGroupShapesPolygonBorderColorBlue,PrimitiveValue,MainShapesGroupShapesPolygonBorderColorBlueEnd,ParseMainShapesGroupShapesPolygonBorderColorBlue,
MainShapesGroupShapesPolygonBorderColorBlueEnd,StructEnd,MainShapesGroupShapesPolygonBorderColorEnd,,
MainShapesGroupShapesPolygonBorderColorEnd,AttributFillColor,MainShapesGroupShapesPolygonFillColor,,
MainShapesGroupShapesPolygonFillColor,AttributVertices,MainShapesGroupShapesPolygonVertices,MainShapesGroupShapesPolygonFillColorDefault,
MainShapesGroupShapesPolygonFillColor,StructStart,MainShapesGroupShapesPolygonFillColorStart,,
MainShapesGroupShapesPolygonFillColorStart,AttributRed,MainShapesGroupShapesPolygonFillColorRed,,
MainShapesGroupShapesPolygonFillColorRed,AttributGreen,MainShapesGroupShapesPolygonFillColorGreen,MainShapesGroupShapesPolygonFillColorRedDefault,
MainShapesGroupShapesPolygonFillColorRed,PrimitiveValue,MainShapesGroupShapesPolygonFillColorRedEnd,ParseMainShapesGroupShapesPolygonFillColorRed,
MainShapesGroupShapesPolygonFillColorRedEnd,AttributGreen,MainShapesGroupShapesPolygonFillColorGreen,,
MainShapesGroupShapesPolygonFillColorGreen,AttributBlue,MainShapesGroupShapesPolygonFillColorBlue,MainShapesGroupShapesPolygonFillColorGreenDefault,
MainShapesGroupShapesPolygonFillColorGreen,PrimitiveValue,MainShapesGroupShapesPolygonFillColorGreenEnd,ParseMainShapesGroupShapesPolygonFillColorGreen,
MainShapesGroupShapesPolygonFillColorGreenEnd,AttributBlue,MainShapesGroupShapesPolygonFillColorBlue,,
MainShapesGroupShapesPolygonFillColorBlue,StructEnd,MainShapesGroupShapesPolygonFillColorEnd,MainShapesGroupShapesPolygonFillColorBlueDefault,
MainShapesGroupShapesPolygonFillColorBlue,PrimitiveValue,MainShapesGroupShapesPolygonFillColorBlueEnd,ParseMainShapesGroupShapesPolygonFillColorBlue,
MainShapesGroupShapesPolygonFillColorBlueEnd,StructEnd,MainShapesGroupShapesPolygonFillColorEnd,,
MainShapesGroupShapesPolygonFillColorEnd,AttributVertices,MainShapesGroupShapesPolygonVertices,,
MainShapesGroupShapesPolygonVertices,StructEnd,MainShapesStart,MainShapesGroupShapesPolygonVerticesDefault,
MainShapesGroupShapesPolygonVertices,ArrayStart,MainShapesGroupShapesPolygonVerticesStart,,
MainShapesGroupShapesPolygonVerticesStart,ArrayEnd,MainShapesGroupShapesPolygonVerticesEnd,,
MainShapesGroupShapesPolygonVerticesStart,StructStart,MainShapesGroupShapesPolygonVerticesVertexStart,,
MainShapesGroupShapesPolygonVerticesVertexStart,AttributX,MainShapesGroupShapesPolygonVerticesVertexX,,
MainShapesGroupShapesPolygonVerticesVertexX,AttributY,MainShapesGroupShapesPolygonVerticesVertexY,MainShapesGroupShapesPolygonVerticesVertexXDefault,
MainShapesGroupShapesPolygonVerticesVertexX,PrimitiveValue,MainShapesGroupShapesPolygonVerticesVertexXEnd,ParseMainShapesGroupShapesPolygonVerticesVertexX,
MainShapesGroupShapesPolygonVerticesVertexXEnd,AttributY,MainShapesGroupShapesPolygonVerticesVertexY,,
MainShapesGroupShapesPolygonVerticesVertexY,StructEnd,MainShapesGroupShapesPolygonVerticesStart,MainShapesGroupShapesPolygonVerticesVertexYDefault,
MainShapesGroupShapesPolygonVerticesVertexY,PrimitiveValue,MainShapesGroupShapesPolygonVerticesVertexYEnd,ParseMainShapesGroupShapesPolygonVerticesVertexY,
MainShapesGroupShapesPolygonVerticesVertexYEnd,StructEnd,MainShapesGroupShapesPolygonVerticesVertexEnd,,
MainShapesGroupShapesPolygonVerticesVertexEnd,StructEnd,MainShapesGroupShapesPolygonVerticesStart,,
MainShapesGroupShapesPolygonVerticesEnd,StructEnd,MainShapesGroupShapesStart,,
MainShapesGroupShapesPolygonEnd,StructEnd,MainShapesGroupShapesPolygonEnd,,
MainShapesGroupShapesEnd,StructEnd,MainShapesStart,,
MainShapesEnd,StructEnd,MainEnd,,
